Location,Location_2,n_samples,mean_accuracy,ci_lower,ci_upper
ctx-rh-middletemporal,ctx-rh-parstriangularis,126,0.7458461538461539,0.6635293662856476,0.8139760511913658
ctx-rh-middletemporal,ctx-rh-insula,166,0.7468805704099821,0.6757820657121671,0.8070211353988728
ctx-rh-middletemporal,ctx-rh-precentral,136,0.7859788359788359,0.7105454397049724,0.847229061918414
ctx-rh-middletemporal,ctx-rh-inferiorparietal,82,0.6852941176470588,0.5759621358417956,0.7735193432959727
ctx-rh-middletemporal,ctx-rh-supramarginal,36,0.725,0.5600751000260289,0.841516620598654
ctx-rh-middletemporal,ctx-rh-superiorparietal,34,0.8857142857142858,0.7337915722962817,0.9532855333511766
ctx-rh-lateralorbitofrontal,ctx-lh-middletemporal,108,0.8792207792207792,0.8048913482797926,0.9282893600607844
ctx-rh-lateralorbitofrontal,ctx-lh-fusiform,20,0.65,0.43285427668523624,0.818808175898918
ctx-rh-lateralorbitofrontal,Right-Hippocampus,260,0.7692307692307692,0.7143213131585489,0.8163003739173387
ctx-rh-lateralorbitofrontal,ctx-rh-fusiform,42,0.7694444444444445,0.6147245613168169,0.8651903577535287
ctx-rh-lateralorbitofrontal,ctx-rh-middletemporal,230,0.7608695652173914,0.7017450371205805,0.811423160705341
ctx-rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,412,0.7890096973258889,0.7468488251723802,0.8254846806664948
ctx-rh-lateralorbitofrontal,ctx-rh-parstriangularis,198,0.8180769230769231,0.7585735104945668,0.8656788147521117
ctx-rh-lateralorbitofrontal,ctx-rh-insula,238,0.7689716312056738,0.7113380715242343,0.8179342898987161
ctx-rh-lateralorbitofrontal,ctx-rh-precentral,122,0.7130000000000001,0.6273158444425793,0.7859025057522677
ctx-rh-lateralorbitofrontal,ctx-rh-inferiorparietal,72,0.7076190476190477,0.5949425733065095,0.8006194381116332
ctx-rh-parstriangularis,ctx-lh-middletemporal,74,0.8104761904761906,0.7071244273939163,0.8838203043326547
ctx-rh-parstriangularis,ctx-lh-fusiform,28,0.8933333333333333,0.7280414845132784,0.9628816331707001
ctx-rh-parstriangularis,Right-Hippocampus,140,0.8,0.7261308550867984,0.8578454246915539
ctx-rh-parstriangularis,ctx-rh-fusiform,38,0.8142857142857143,0.6658114192886859,0.9077823481477874
ctx-rh-parstriangularis,ctx-rh-middletemporal,126,0.7698461538461538,0.6890161339806872,0.8346994851876502
ctx-rh-parstriangularis,ctx-rh-lateralorbitofrontal,198,0.8534615384615385,0.7975674011063304,0.896046293612201
ctx-rh-parstriangularis,ctx-rh-parstriangularis,122,0.8113333333333334,0.7329716513566709,0.8709628604665671
ctx-rh-parstriangularis,ctx-rh-insula,98,0.7042105263157895,0.6073991576853616,0.785368193285381
ctx-rh-parstriangularis,ctx-rh-precentral,56,0.7681818181818182,0.6423184678498916,0.8590062089079139
ctx-rh-parstriangularis,ctx-rh-inferiorparietal,34,0.7333333333333333,0.5688285871705533,0.8539880932278826
ctx-rh-insula,ctx-lh-middletemporal,36,0.8857142857142858,0.7468519140963513,0.9559335969968435
ctx-rh-insula,Right-Hippocampus,162,0.6971590909090909,0.6228982931204032,0.7630124462996839
ctx-rh-insula,ctx-rh-middletemporal,166,0.7534759358288771,0.6821792456442569,0.8123996432987596
ctx-rh-insula,ctx-rh-lateralorbitofrontal,238,0.7984042553191489,0.7427880539643945,0.8443734719891911
ctx-rh-insula,ctx-rh-parstriangularis,98,0.6636842105263159,0.5651152259128323,0.7490986548637617
ctx-rh-insula,ctx-rh-insula,214,0.7800664451827244,0.7202320328294718,0.8306272969309496
ctx-rh-insula,ctx-rh-precentral,106,0.6601731601731602,0.5660266583141396,0.743510381388709
ctx-rh-insula,ctx-rh-inferiorparietal,66,0.6681318681318681,0.5465634388771762,0.7684357087849766
ctx-rh-precentral,Left-Hippocampus,20,0.8,0.5839825677481064,0.919342337420202
ctx-rh-precentral,Right-Hippocampus,110,0.7363636363636363,0.6470588387533535,0.8097167554693324
ctx-rh-precentral,ctx-rh-middletemporal,136,0.7796296296296297,0.7025855804955782,0.8408870108297729
ctx-rh-precentral,ctx-rh-lateralorbitofrontal,122,0.6806666666666668,0.5931580271103609,0.7564882692083557
ctx-rh-precentral,ctx-rh-parstriangularis,56,0.6606060606060605,0.5299945300706022,0.7708002759840811
ctx-rh-precentral,ctx-rh-insula,106,0.6515151515151516,0.5563658870548236,0.7349630914890337
ctx-rh-precentral,ctx-rh-precentral,92,0.6836257309941521,0.5840668992376271,0.770685630808991
ctx-rh-precentral,ctx-rh-inferiorparietal,58,0.6530303030303031,0.5266777656614041,0.7643891066804984
ctx-rh-precentral,ctx-rh-supramarginal,24,0.8,0.5952954674681133,0.9075517464714814
ctx-rh-precentral,ctx-rh-superiorparietal,28,0.82,0.6440857521065705,0.9212149805439572
ctx-rh-inferiorparietal,Right-Hippocampus,64,0.7487179487179487,0.631837235413303,0.8398507346902941
ctx-rh-inferiorparietal,ctx-rh-middletemporal,82,0.7786764705882353,0.6794794576232295,0.8563921437213484
ctx-rh-inferiorparietal,ctx-rh-lateralorbitofrontal,72,0.7485714285714286,0.6390649259565606,0.8356094877452105
ctx-rh-inferiorparietal,ctx-rh-parstriangularis,34,0.6476190476190475,0.47913963119781733,0.785120794051205
ctx-rh-inferiorparietal,ctx-rh-insula,66,0.6670329670329671,0.5465634388771762,0.7684357087849766
ctx-rh-inferiorparietal,ctx-rh-precentral,58,0.6727272727272727,0.5442405467847079,0.7791670891507393
ctx-rh-inferiorparietal,ctx-rh-inferiorparietal,44,0.7055555555555555,0.5577979987383977,0.8184447088149512
ctx-rh-inferiorparietal,ctx-rh-supramarginal,20,0.75,0.5312991223812559,0.8881382985923344
ctx-rh-inferiorparietal,ctx-rh-superiorparietal,34,0.880952380952381,0.7337915722962817,0.9532855333511766
ctx-rh-supramarginal,Right-Hippocampus,20,0.75,0.5312991223812559,0.8881382985923344
ctx-rh-supramarginal,ctx-rh-middletemporal,36,0.7464285714285716,0.5892954623327165,0.8624952233700518
ctx-rh-supramarginal,ctx-rh-precentral,24,0.71,0.5083230633550336,0.8508535180303914
ctx-rh-supramarginal,ctx-rh-inferiorparietal,20,1.0,0.8388748419471804,0.9999999999999999
ctx-rh-supramarginal,ctx-rh-superiorparietal,24,0.76,0.5510055599484599,0.88000633771405
ctx-rh-caudalanteriorcingulate,ctx-lh-middletemporal,20,0.65,0.43285427668523624,0.818808175898918
ctx-rh-caudalanteriorcingulate,ctx-rh-superiorfrontal,30,0.7333333333333333,0.555520383048111,0.8581733668040368
ctx-rh-superiorfrontal,Left-Hippocampus,102,0.8047619047619048,0.7164524743574987,0.8693293231613177
ctx-rh-superiorfrontal,ctx-lh-middletemporal,222,0.8964646464646464,0.8493409064700465,0.9299668473810053
ctx-rh-superiorfrontal,ctx-lh-parahippocampal,30,0.8333333333333334,0.6643564949358397,0.9266345762815146
ctx-rh-superiorfrontal,ctx-lh-fusiform,54,0.7781818181818181,0.6506132834036109,0.8680458343236686
ctx-rh-superiorfrontal,ctx-rh-caudalanteriorcingulate,30,0.7000000000000001,0.5212421254128503,0.833352517317562
ctx-rh-superiorfrontal,ctx-rh-superiorfrontal,306,0.9345319936541513,0.9012087581364998,0.9572948166027824
ctx-rh-superiorfrontal,ctx-rh-rostralanteriorcingulate,108,0.8147186147186147,0.7312030524810644,0.8768004617525846
ctx-rh-superiorfrontal,ctx-rh-superiorparietal,30,0.8666666666666668,0.703186733179637,0.9469034451594526
ctx-rh-rostralmiddlefrontal,ctx-rh-rostralmiddlefrontal,20,0.85,0.639581135259243,0.9476312541037833
ctx-rh-rostralanteriorcingulate,Left-Hippocampus,36,0.775,0.6191529705388181,0.8828366802420353
ctx-rh-rostralanteriorcingulate,ctx-lh-middletemporal,76,0.9216666666666666,0.8382725651786191,0.9633159947665282
ctx-rh-rostralanteriorcingulate,ctx-lh-fusiform,20,0.55,0.34208534245034233,0.7418021417443759
ctx-rh-rostralanteriorcingulate,ctx-rh-superiorfrontal,108,0.8424242424242424,0.7623129098457861,0.899337973290832
ctx-rh-rostralanteriorcingulate,ctx-rh-rostralanteriorcingulate,42,0.8305555555555555,0.6939599725535115,0.9168408335360192
ctx-rh-rostralanteriorcingulate,ctx-rh-superiorparietal,20,0.95,0.7638688065532577,0.9911185511992044
ctx-rh-superiorparietal,ctx-lh-superiorparietal,20,0.95,0.7638688065532577,0.9911185511992044
ctx-rh-superiorparietal,ctx-rh-middletemporal,34,0.7380952380952381,0.5688285871705533,0.8539880932278826
ctx-rh-superiorparietal,ctx-rh-precentral,28,0.78,0.6046141434627812,0.8978753966710211
ctx-rh-superiorparietal,ctx-rh-inferiorparietal,34,0.9095238095238095,0.7703951343719112,0.9695340563253515
ctx-rh-superiorparietal,ctx-rh-supramarginal,24,0.8300000000000001,0.6414692935030094,0.9332132367136706
ctx-rh-superiorparietal,ctx-rh-superiorfrontal,30,0.8666666666666666,0.703186733179637,0.9469034451594526
ctx-rh-superiorparietal,ctx-rh-rostralanteriorcingulate,20,0.9,0.6989663547715127,0.9721335187862318
ctx-rh-superiorparietal,ctx-rh-superiorparietal,52,0.8254545454545454,0.702691358755192,0.9061752560868979
ctx-lh-entorhinal,ctx-lh-middletemporal,50,0.78,0.6475845041874633,0.8724608402978558
ctx-lh-middletemporal,ctx-lh-entorhinal,50,0.7999999999999999,0.6696289406777458,0.8875624998422389
ctx-lh-middletemporal,Right-Amygdala,84,0.8691176470588236,0.780539270768134,0.9252777868305695
ctx-lh-middletemporal,ctx-rh-bankssts,20,0.9,0.6989663547715127,0.9721335187862318
Right-Amygdala,ctx-lh-middletemporal,84,0.8683823529411765,0.780539270768134,0.9252777868305695
Right-Amygdala,Right-Amygdala,116,0.8362318840579711,0.7582995878695618,0.8925603129324051
Right-Amygdala,Right-Hippocampus,132,0.7729344729344729,0.6941217129003104,0.835907930664085
Right-Amygdala,ctx-rh-middletemporal,120,0.8166666666666667,0.7379908648282967,0.8756969964398578
Right-Amygdala,ctx-rh-bankssts,34,0.7714285714285715,0.6000386207746361,0.8756301446736042
Right-Amygdala,ctx-rh-lateralorbitofrontal,174,0.8391596638655463,0.7772562866787964,0.8862560393136014
Right-Amygdala,ctx-rh-parstriangularis,92,0.8140350877192983,0.7238594289322428,0.8813066517355174
Right-Amygdala,ctx-rh-insula,72,0.8066666666666666,0.6996724105411147,0.8804852062054944
Right-Amygdala,ctx-rh-precentral,44,0.7499999999999999,0.6055943364104085,0.8542578617103512
Right-Hippocampus,Right-Amygdala,132,0.8262108262108262,0.7520962774682791,0.8809946856780821
Right-Hippocampus,ctx-rh-bankssts,66,0.7274725274725274,0.6095777422224589,0.8199665500441133
ctx-rh-middletemporal,Right-Amygdala,120,0.7833333333333334,0.7014563746709164,0.8476327643584851
ctx-rh-middletemporal,ctx-rh-bankssts,74,0.7723809523809525,0.6625368552184813,0.8513281288915803
ctx-rh-bankssts,ctx-lh-middletemporal,20,0.85,0.639581135259243,0.9476312541037833
ctx-rh-bankssts,Right-Amygdala,34,0.7428571428571429,0.5688285871705533,0.8539880932278826
ctx-rh-bankssts,Right-Hippocampus,66,0.6945054945054945,0.5778119305445574,0.7944597894198052
