Location,Location_2,n_samples,mean_accuracy,std_accuracy
ctx-lh-lateralorbitofrontal,ctx-lh-transversetemporal,32,0.6,0.14077852856280462
ctx-lh-lateralorbitofrontal,ctx-lh-medialorbitofrontal,22,0.74,0.19339079605813714
ctx-lh-lateralorbitofrontal,ctx-rh-middletemporal,20,0.85,0.2
ctx-lh-parstriangularis,ctx-lh-medialorbitofrontal,22,0.77,0.024494897427831803
ctx-lh-parstriangularis,ctx-rh-middletemporal,26,0.7666666666666666,0.0843274042711568
Right-Hippocampus,Left-Amygdala,34,0.7666666666666667,0.0645936188869073
Right-Hippocampus,ctx-lh-inferiortemporal,22,0.6900000000000001,0.07348469228349536
ctx-rh-middletemporal,Left-Amygdala,72,0.8876190476190476,0.07219273774570374
ctx-rh-middletemporal,ctx-lh-inferiortemporal,34,0.7904761904761906,0.1227057021592869
ctx-rh-middletemporal,ctx-lh-superiortemporal,22,0.74,0.14628738838327796
ctx-rh-middletemporal,ctx-lh-lateralorbitofrontal,20,0.7,0.18708286933869706
ctx-rh-middletemporal,ctx-lh-parstriangularis,26,0.5733333333333334,0.155492050529208
Left-Hippocampus,ctx-lh-entorhinal,24,0.75,0.23237900077244503
Left-Hippocampus,ctx-lh-parsopercularis,68,0.689010989010989,0.06552989677307942
ctx-lh-parahippocampal,ctx-lh-superiortemporal,34,0.8523809523809524,0.00952380952380949
